1043 -13.9 1
1044 -13.6 1
1045 -12.3 1
1046 -9.2 1
1047 -4.9 1
1048 -13.2 1
1049 -14.1 1
1050 -8.9 1
1051 -16.9 1
1052 -12.5 1
1053 -13.4 1
1054 -13.1 1
1055 -13.4 1
1056 -9.9 1
1057 -7.1 1
1058 -11.3 1
1059 -9.9 1
1060 -7.7 1
1061 -11.5 1
1062 -12.2 1
1063 -13.7 1
1064 -16.4 1
1065 -7.8 1
1066 -14.5 1
1067 -12.5 1
1068 -10.2 1
1069 -16 1
1070 -13 1
1071 -9.9 1
1072 -9.6 1
1073 -8 1
1074 -6 1
1075 -4.9 1
1076 -5.8 1
1077 -5.8 1
1078 -5.8 1
1079 -9.3 1
1080 -9.7 1
1081 1.6 1
1082 -7.3 1
1083 -4.9 1
1084 -3.9 1
1085 -4.3 1
1086 -10.8 1
1087 -7.8 1
1088 -10.5 1
1089 -10.8 1
1090 -11.6 1
1091 -16.7 1
1092 -12.5 1
1093 -11.5 1
1094 -10.5 1
1095 -10.1 1
1096 -3.4 1
1097 -3.7 1
1098 -6.6 1
1099 -5.2 1
1100 -6.7 1
1101 -4.5 1
1102 -4.4 1
1103 -8.8 1
1104 -7.4 1
1105 -5.8 1
1106 -3.5 1
1107 -3.5 1
1108 -2.8 1
1109 -5.6 1
1110 -4 1
1111 -4.5 1
1112 -4.5 1
1113 -3.3 1
1114 -2.6 1
1115 -5.4 1
1116 -1.3 1
1117 -7.2 1
1118 -5.5 1
1119 -3.6 1
1120 -3.4 1
1121 0 1
1122 -7.6 1
1123 -9.9 1
1124 -9.6 1
1125 -7.7 1
1126 -10.7 1
1127 -9.8 1
1128 -9.7 1
1129 -7.9 1
1130 -5.2 1
1131 -2 1
1132 1.8 1
1133 6 1
1134 5 1
1135 2.3 1
1136 0.7 1
1137 5.4 1
1138 3.7 1
1139 -0.2 1
1140 -2.5 1
1141 2.5 1
1142 0.5 1
1143 -7.3 1
1144 -1.5 1
1145 -3 1
1146 -4.2 1
1147 -0.2 1
1148 -6.7 1
1149 -8.4 1
1150 -12.1 1
1151 -11.2 1
1152 -6.1 1
1153 -6.1 1
1154 -4 1
1155 -4.7 1
1156 -9.7 1
1157 -5.9 1
1158 -11.1 1
1159 -5.1 1
1160 -12.2 1
1161 -5.3 1
1162 -10.7 1
1163 -8.4 1
1164 -8.1 1
1165 -12.2 1
1166 -7.5 1
1167 -9.6 1
1168 -9.8 1
1169 -7.5 1
1170 -4.9 1
1171 -1.2 1
1172 -7.9 1
1173 -10.3 1
1174 -8.4 1
1175 -12 1
1176 -9.7 1
1177 -7.2 1
1178 -16.1 1
1179 -5.5 1
1180 -2.9 1
1181 1.5 1
1182 0.6 1
1183 4.1 1
1184 1.7 1
1185 7 1
1186 2.4 1
1187 0.4 1
1188 8.4 1
1189 -1 1
1190 3.2 1
1191 7.7 1
1192 1.5 1
1193 -3.2 1
1194 3.6 1
1195 8.3 1
1196 1.5 1
1197 -3.6 1
1198 -4.1 1
1199 -4.9 1
1200 -2.3 1
1201 -3.2 1
1202 4.1 1
1203 -2.3 1
1204 1.2 1
1205 4 1
1206 3.1 1
1207 3.9 1
1208 3.2 1
1209 6 1
1210 -5.8 1
1211 -6.6 1
1212 -5.2 1
1213 -2.6 1
1214 0.5 1
1215 -4.6 1
1216 -3.9 1
1217 -5.6 1
1218 -2.9 1
1219 -3.3 1
1220 -4.6 1
1221 -2 1
1222 -0.4 1
1223 -6.1 1
1224 -4.9 1
1225 -6.7 1
1226 -3.7 1
1227 -5 1
1228 -6.9 1
1229 -6 1
1230 -3.7 1
1231 -0.6 1
1232 3.2 1
1233 18.1 1
1234 22.1 1
1235 2.5 1
1236 1.7 1
1237 3.9 1
1238 3.9 1
1239 1.8 1
1240 1.3 1
1241 -0.5 1
1242 -3.5 1
1243 0 1
1244 3 1
1245 4.5 1
1246 8.3 1
1247 2.1 1
1248 2.6 1
1249 3.2 1
1250 -1.9 1
1251 -2 1
1252 1.1 1
1253 4.6 1
1254 0.1 1
1255 -3.2 1
1256 4.8 1
1257 2.1 1
1258 0.9 1
1259 0.3 1
1260 -0.2 1
1261 1.6 1
1262 5 1
1263 -1 1
1264 0.4 1
1265 1.9 1
1266 -2 1
1267 1.5 1
1268 0.9 1
1269 0.2 1
1270 1.3 1
1271 0.8 1
1272 3.4 1
1273 1.6 1
1274 -0.9 1
1275 -7.2 1
1276 -5.4 1
1277 -4.8 1
1278 -7.6 1
1279 -4.2 1
1280 2.8 1
